映画名,ジャンル,評価,年代,監督名,俳優名
ミッドナイト・イン・パリ,ロマンス,4.0,2011,ウディ・アレン,"オーウェン・ウィルソン, レイチェル・マクアダムス"
カサブランカ,ロマンス,4.0,1942,マイケル・カーティス,"ハンフリー・ボガート, イングリッド・バーグマン"
ロストストレイト,戦争,3.9,2018,バフラーム・タヴァコリー,"ジャヴァド・エザティ, アミールジャ・ディディ"
グリーンブック,ドラマ,4.1,2018,ピーター・ファレリー,"ヴィゴ・モーテンセン, マハーシャラ・アリ"
キャリー,ホラー,4.0,2013,キンバリー・ピアース,"クロエ・モレッツ, ジュリアン・ムーア"
ピエロがお前を嘲笑う,スリラー,4.0,2014,バラン・ボー・オダー,"トム・シリング, ヴォータン・ヴィルケ・メーリング"
殺人の追憶,スリラー,4.0,2003,ポン・ジュノ,"ソン・ガンホ, パク・へイル"
エスター,ホラー,4.3,2009,ジャウム・コレットセラ,"イザベル・ファーマン, ヴェラ・ファミーガ"
エスター/ファーストキル,ホラー,3.9,2022,ウィリアム・ブレント・ベル,"イザベル・ファーマン, ジュリア・スタイルズ"
キャストアウェイ,ドラマ,4.0,2000,ロバート・ゼメキス,"トム・ハンクス, ヘレン・ハント"
カリートの道,クライム,4.0,1993,ブライアン・デパルマ,"アル・パチーノ, ショーン・ベン"
痩せゆく男,ホラー,3.9,1996,トム・ホランド,"ロバート・ジョン・バーク, カリ・ウーラー"
アス,ホラー,4.3,2019,ジョーダン・ピール,"ウィンストン・デューク, ルピタ・ニョンゴ"
アバウト・シュミット,ドラマ,3.9,2002,アレクサンダー・ペイン,"ジャック・ニコルソン, キャシー・ベイツ"
イントゥ・ザ・ワイルド,ドラマ,3.9,2007,ショーン・ペン,"エミール・ハーシュ, クリステン・スチュワート"
デッドゾーン,ホラー,4.0,1983,デヴィッド・クローネンバーグ,"クリストファー・ウォーケン, マーティン・シーン"
ドリームハウス,ホラー,4.0,2011,ジム・シェリダン,"ダニエル・クレイグ, レイチェル・ワイズ"
アルキメデスの大戦,戦争,4.4,2019,山崎貴,"菅田将暉, 浜辺美波"
死霊館,ホラー,4.4,2013,ジェームズ・ワン,"ヴェラ・ファミーガ, パトリック・ウィルソン"
死霊館/エンフィールド事件,ホラー,4.4,2016,ジェームズ・ワン,"ヴェラ・ファミーガ, パトリック・ウィルソン"
アナベル/死霊館の人形,ホラー,4.0,ジョン・R・レオネッティ,"アナベル・ウォーリス, ウォード・ホートン"
アナベル/死霊人形の誕生,ホラー,4.0,デヴィッド・F・サンドバーグ,"タリサ・ペイトマン, ルールー・ウィルソン"
アナベル/死霊博物館,ホラー,4.0,ゲイリー・ドーベルマン,"マッケンナ・グレイス, パトリック・ウィルソン"
シークレットウィンドウ,ミステリー,4.0,2004,デヴィッド・コープ,"ジョニー・デップ, ジョン・タトゥーロ"
セルピコ,クライム,4.0,1973,シドニー・ルメット,"アル・パチーノ, コーネリア・シャープ"
ルーム,スリラー,4.3,2015,レニー・アブラハムソン,"ブリー・ラーソン, ジェイコブ・トレンブレイ"
シャッフル,スリラー,4.3,2007,メナン・ヤポ,"サンドラ・ブロック, シャアン・マクルーア"
マイ・フレンド・フォーエバー,ドラマ,4.3,1995,ピーター・ホートン,"ブラッド・レンフロ, ジョゼフ・マゼロ"
理由,スリラー,4.0,1995,アーネ・グリムシャー,"ショーン・コネリー, ローレンス・フィッシュバーン"
アメリカンヒストリーX,クライム,4,2,1998,トニー・ケイ,"エドワード・ノートン, エドワード・ファーロング"
運び屋,クライム,4.4,2018,クリント・イーストウッド,"クリント・イーストウッド, ブラッドリー・クーパー"
アメリカン・ビューティー,ロマンス,4.0,1999,サム・メンデス,"ミーナ・スヴァーリ, ケヴィン・スペイシー"
マニシスト,スリラー,4.2,2004,ブラッド・アンダーソン,"クリスチャン・ベール, ジェニファー・ジェイソン・リー"
ハッピーデスデイ,ホラー,4.0,2017,クリストファー・ランドン,"ジェシカ・ローテ, イズラエル・ブルサード"
ユージュアルサスペクツ,クライム,4.3,1995,ブライアン・シンガー,"ケヴィン・スペイシー, ベニチオ・デル・トロ"
マイ・レフトフット,ドラマ,3.8,1989,ジム・シェリダン,"ダニエル・デイルイス, ブレンダ・フリッカー"
キング・オブ・コメディ,クライム,4.3,1982,マーティン・スコセッシ,"ロバート・デニーロ, ジェリー・ルイス"
ハッピー・フライト,コメディ,3.8,2003,ブルーノ・バレット,"グウィネス・パルトロー, マーク・ラファロ"
フライト,スリラー,4.0,2012,ロバート・ゼメキス,"デンゼル・ワシントン, ケリー・ライリー"
ザ・コール,スリラー,4.2,2013,ブラッド・アンダーソン,"ハル・ベリー, アビゲイル・ブレスリン"
パルプ・フィクション,クライム,4.9,1994,クエンティン・タランティーノ,"ジョン・トラボルタ, ユマ・サーマン"
カジノ,クライム,4.0,1995,マーティン・スコセッシ,"ロバート・デニーロ, ジョー・ペシ"
アップグレード,アクション,3.9,2018,リー・ワネル,"ローガン・マーシャルグリーン, べティ・ガブリエル"
ウインド・リバー,スリラー,4.4,2017,テイラー・シェリダン,"ジェレミー・レナー, エリザベス・オルセン"
ブレイン・ゲーム,スリラー,4.3,2015,アフォンソ・ポイアルチ,"アンソニー・ホプキンス, コリン・ファレル"
ミリオンダラー・ベイビー,ドラマ,4.2,2004,クリント・イーストウッド,"ヒラリー・スワンク, モーガン・フリーマン"
眼科の敵,戦争,4.0,1957,ディック・パウエル,"クルト・ユルゲンス, ロバート・ミッチャム"
